,policy_id,customer_education,incident_type_breakin,num_injuries,vehicle_claim,driver_relationship_self,driver_relationship_na,authorities_contacted_none,policy_state_nv,auto_year,num_vehicles_involved,policy_annual_premium,customer_gender_male,policy_deductable,policy_liability,driver_relationship_other,collision_type_rear,incident_type_theft,incident_month,num_insurers_past_5_years,police_report_available,authorities_contacted_police,incident_severity,num_claims_past_year,collision_type_na,num_witnesses,collision_type_side,months_as_customer,customer_gender_female,policy_state_az,incident_day,policy_state_id,policy_state_or,injury_claim,customer_age,collision_type_front,authorities_contacted_fire,incident_type_collision,driver_relationship_child,fraud,incident_dow,authorities_contacted_ambulance,policy_state_ca,total_claim_amount,policy_state_wa,incident_hour,driver_relationship_spouse
0,13,4,0,0,11500.0,1,0,1,0,2020,2,3000,1,750,1,0,0,0,10,1,0,0,0,0,0,1,0,104,0,0,26,0,0,0.0,33,1,0,1,0,0,5,0,1,11500.0,0,16,0
1,1684,4,0,0,7500.0,1,0,1,0,2014,2,2600,0,750,3,0,1,0,12,2,0,0,0,0,0,2,0,39,1,0,31,0,0,0.0,31,0,0,1,0,0,1,0,0,7500.0,1,9,0
2,22,3,0,1,32000.0,0,0,0,0,2020,2,3000,1,750,1,0,0,0,8,2,0,0,2,0,0,1,0,20,0,0,9,0,0,21000.0,21,1,1,1,0,0,4,0,1,53000.0,0,5,1
3,40,1,0,0,10000.0,1,0,1,0,2014,2,2700,0,750,0,0,0,0,5,1,0,0,0,0,0,1,0,117,1,0,6,0,0,0.0,51,1,0,1,0,0,0,0,1,10000.0,0,8,0
4,1708,1,0,3,42000.0,0,0,0,0,2018,3,3000,0,750,1,0,0,0,11,1,1,1,2,1,0,2,1,35,1,0,15,0,0,5500.0,28,0,0,1,0,0,4,0,1,47500.0,0,9,1
5,1711,3,0,0,13500.0,1,0,1,0,2018,2,3000,1,750,0,0,0,0,7,1,0,0,0,1,0,3,0,130,0,0,24,0,0,0.0,29,1,0,1,0,0,2,0,1,13500.0,0,11,0
6,50,3,1,0,13500.0,0,1,0,0,2015,1,2750,1,750,2,0,0,0,10,1,0,1,0,0,1,0,0,197,0,0,30,0,0,0.0,64,0,0,0,0,0,2,0,1,13500.0,0,12,0
7,3378,3,0,0,29000.0,1,0,0,0,2015,4,3000,1,750,1,0,0,0,6,1,1,1,2,0,0,3,0,322,0,0,6,0,0,0.0,46,1,0,1,0,0,3,0,1,29000.0,0,6,0
8,1722,1,0,0,5500.0,1,0,0,0,2015,3,3000,1,750,1,0,0,0,12,5,1,1,0,0,0,2,0,1,0,0,23,0,1,0.0,18,1,0,1,0,0,0,0,0,5500.0,0,16,0
9,63,3,0,0,11500.0,1,0,1,0,2016,2,3000,0,750,0,0,0,0,11,1,0,0,0,0,0,0,0,169,1,0,22,0,0,0.0,43,1,0,1,0,0,4,0,1,11500.0,0,17,0
10,3408,4,0,1,37500.0,1,0,0,0,2017,2,2900,1,750,2,0,0,0,4,2,1,1,2,0,0,2,0,31,0,0,11,0,0,11500.0,32,1,0,1,0,0,3,0,1,49000.0,0,20,0
11,3419,3,0,0,7000.0,1,0,1,0,2019,1,3000,1,750,2,0,0,0,11,1,0,0,0,0,0,0,1,108,0,0,22,0,0,0.0,61,0,0,1,0,0,4,0,1,7000.0,0,16,0
12,3423,1,0,0,7000.0,1,0,1,0,2016,1,2750,0,800,1,0,0,0,5,1,0,0,0,0,0,0,0,244,1,0,19,0,0,0.0,54,1,0,1,0,0,6,0,1,7000.0,0,10,0
13,3424,4,0,3,16000.0,0,0,0,0,2020,2,2700,1,750,0,1,1,0,11,1,0,1,1,0,0,0,0,82,0,0,27,0,0,3000.0,40,0,0,1,0,0,2,0,1,19000.0,0,8,0
14,109,3,0,1,12500.0,1,0,0,0,2018,2,3000,0,750,3,0,0,0,7,2,0,1,1,0,0,0,0,45,1,0,26,0,0,13000.0,33,1,0,1,0,0,4,0,1,25500.0,0,9,0
15,1795,4,0,0,18000.0,1,0,0,0,2020,4,3000,1,750,2,0,1,0,11,3,1,1,1,1,0,1,0,7,0,0,16,0,0,0.0,26,0,0,1,0,0,5,0,1,18000.0,0,1,0
16,135,1,1,0,11500.0,0,1,0,0,2016,1,3000,1,750,1,0,0,0,4,2,0,1,0,0,1,0,0,36,0,0,26,0,0,0.0,30,0,0,0,0,1,4,0,1,11500.0,0,10,0
17,1807,3,0,0,11500.0,0,0,0,0,2016,2,3000,1,750,0,0,0,0,9,2,1,1,1,0,0,1,0,16,0,0,6,0,0,0.0,40,1,0,1,0,0,4,0,1,11500.0,0,4,1
18,1814,4,0,1,25000.0,1,0,0,0,2014,3,3000,1,750,2,0,0,0,1,1,1,1,2,0,0,3,0,201,0,0,13,0,0,5500.0,66,1,0,1,0,0,6,0,0,30500.0,1,9,0
19,3441,4,0,1,28500.0,1,0,0,0,2013,2,3000,1,750,3,0,0,0,3,1,0,0,2,1,0,0,1,76,0,0,25,0,0,16000.0,73,0,0,1,0,0,0,1,0,44500.0,1,9,0
20,1818,3,0,0,22000.0,1,0,0,0,2014,3,2500,0,750,0,0,0,0,8,1,1,1,2,0,0,0,0,191,1,0,26,0,0,0.0,44,1,0,1,0,0,0,0,1,22000.0,0,8,0
21,1821,1,0,4,9500.0,0,0,0,1,2009,3,2700,1,750,3,0,0,0,10,1,1,1,1,0,0,2,0,99,0,0,9,0,0,2500.0,37,1,0,1,0,0,2,0,0,12000.0,0,17,1
