fraud,customer_education,incident_type_breakin,num_injuries,vehicle_claim,driver_relationship_self,driver_relationship_na,authorities_contacted_none,policy_state_nv,auto_year,num_vehicles_involved,policy_annual_premium,customer_gender_male,policy_deductable,policy_liability,driver_relationship_other,collision_type_rear,incident_type_theft,incident_month,num_insurers_past_5_years,police_report_available,authorities_contacted_police,incident_severity,num_claims_past_year,collision_type_na,num_witnesses,collision_type_side,months_as_customer,customer_gender_female,policy_state_az,incident_day,policy_state_id,policy_state_or,injury_claim,customer_age,collision_type_front,authorities_contacted_fire,incident_type_collision,driver_relationship_child,incident_dow,authorities_contacted_ambulance,policy_state_ca,total_claim_amount,policy_state_wa,incident_hour,driver_relationship_spouse
0,3,0,0,5500.0,1,0,1,0,2010,1,2850,1,750,2,0,0,0,5,3,0,0,0,0,0,0,0,20,0,0,6,0,0,0.0,27,1,0,1,0,0,0,0,5500.0,1,8,0
0,3,0,0,11500.0,0,0,0,0,2020,3,3000,0,750,2,0,1,0,10,1,1,1,0,0,0,2,0,151,1,0,15,1,0,0.0,51,0,0,1,1,1,0,0,11500.0,0,15,0
0,1,0,0,4000.0,1,0,1,0,2009,2,2450,1,750,3,0,0,0,9,1,0,0,0,0,0,2,1,84,0,0,19,0,0,0.0,38,0,0,1,0,3,0,1,4000.0,0,5,0
0,3,0,0,13000.0,1,0,0,0,2017,3,3000,0,750,2,0,1,0,12,1,1,1,1,0,0,1,0,115,1,0,1,0,0,0.0,48,0,0,1,0,6,0,1,13000.0,0,11,0
0,3,0,0,13500.0,1,0,0,0,2018,6,2950,0,750,0,0,0,0,7,1,1,1,0,0,0,5,1,50,1,0,13,0,0,0.0,30,0,0,1,0,5,0,1,13500.0,0,13,0
0,3,0,0,15500.0,1,0,0,0,2020,2,3000,1,750,3,0,0,0,9,5,0,1,1,0,0,0,0,10,0,0,8,0,1,0.0,38,1,0,1,0,6,0,0,15500.0,0,12,0
0,1,0,0,12500.0,1,0,0,0,2020,2,3000,1,750,2,0,0,0,10,1,0,1,0,0,0,0,1,163,0,0,26,0,0,0.0,53,0,0,1,0,5,0,1,12500.0,0,18,0
0,3,0,4,25000.0,1,0,0,0,2012,3,2850,1,750,3,0,0,0,9,1,1,1,2,0,0,2,1,176,0,0,27,0,0,3000.0,63,0,0,1,0,4,0,1,28000.0,0,5,0
0,0,0,0,18000.0,1,0,1,0,2018,2,3000,1,750,1,0,0,0,5,4,0,0,0,0,0,0,1,6,0,0,1,0,0,0.0,19,0,0,1,0,2,0,0,18000.0,1,15,0
0,3,1,0,11000.0,0,1,0,0,2013,1,2700,1,750,1,0,0,0,4,1,0,1,0,0,1,0,0,229,0,0,5,0,0,0.0,74,0,0,0,0,4,0,1,11000.0,0,3,0
0,3,0,2,11500.0,1,0,0,0,2012,2,2900,1,750,1,0,1,0,5,1,0,1,1,0,0,2,0,184,0,0,8,0,0,19500.0,74,0,0,1,0,2,0,1,31000.0,0,16,0
0,3,0,0,13000.0,1,0,0,0,2017,2,3000,1,750,1,0,0,0,7,1,1,1,1,1,0,1,0,76,0,0,27,0,0,0.0,49,1,0,1,0,5,0,0,13000.0,1,9,0
0,3,0,0,37000.0,1,0,0,1,2017,4,3000,1,750,1,0,0,0,7,1,1,1,2,0,0,2,1,484,0,0,17,0,0,0.0,59,0,0,1,0,2,0,0,37000.0,0,12,0
0,1,1,0,18000.0,0,1,0,0,2017,1,3000,0,750,1,0,0,0,1,1,0,1,0,0,1,0,0,2,1,1,14,0,0,0.0,19,0,0,0,0,0,0,0,18000.0,0,3,0
0,3,0,0,29500.0,1,0,0,0,2016,2,3000,0,750,1,0,0,0,4,2,0,0,2,0,0,1,1,21,1,0,9,0,0,0.0,61,0,1,1,0,1,0,1,29500.0,0,11,0
0,2,0,0,15000.0,1,0,1,0,2017,2,2700,1,750,0,0,1,0,8,2,0,0,0,0,0,0,0,48,0,0,29,0,0,0.0,36,0,0,1,0,3,0,1,15000.0,0,23,0
0,4,0,1,34500.0,1,0,0,0,2019,2,3000,1,750,0,0,0,0,8,2,0,0,2,0,0,0,0,47,0,0,29,0,0,15000.0,42,1,0,1,0,3,1,1,49500.0,0,19,0
